corrected_grade,COURSE_NAME,COURSE_NUMBER,date_of_pull,grade_type,inc_reason,LETTER_GRADE,SIS_SECTION_ID,stu_crs_lookup,STUDENT_ID,Max. ADDL_EXPECTED_PCNT,Max. COG_SKILL_PCNT,Max. CONCEPT_PCNT,Max. NUM_PROJECTS_OVERDUE,Max. OVERALL_SCORE,Max. POWER_EXPECTED_PCNT
A+,SP-AP Government,A400,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,76810_2017-08-15,11504 A400,11504,100,98,,0,99,100
A+,SP-AP English Literature,B400,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,76868_2017-08-15,11504 B400,11504,100,98,,0,99,100
A+,SP-AP Calculus AB,C400,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,81125_2017-08-15,11504 C400,11504,100,99,98,0,99,100
A+,SP-AP Environmental Science,D430,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,76802_2017-08-15,11504 D430,11504,100,97,,0,98,100
A+,SP-AP Environmental Science,D430,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,76833_2017-08-15,11504 D430,11504,100,97,,0,98,100
P,Internship,I139,6/15/2018 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A-,81179_2017-08-15,11504 I139,11504,100,88,,0,92,100
C,SP-AP Government,A400,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],C,76890_2017-08-15,11506 A400,11506,0,77,,0,75,100
C,SP-AP English Literature,B400,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],C,76855_2017-08-15,11506 B400,11506,0,76,,0,74,100
C,SP-AP Statistics,C420,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],C,76846_2017-08-15,11506 C420,11506,0,84,72,0,75,100
C+,SP-AP Environmental Science,D430,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],C+,76802_2017-08-15,11506 D430,11506,38,78,,0,79,100
C+,SP-AP Environmental Science,D430,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],C+,76847_2017-08-15,11506 D430,11506,38,78,,0,79,100
P,Internship,I139,6/15/2018 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B,81179_2017-08-15,11506 I139,11506,100,78,,0,85,100
B,SP-AP Government,A400,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B,76810_2017-08-15,11507 A400,11507,80,81,,0,85,100
B+,SP-AP English Literature,B400,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B+,76844_2017-08-15,11507 B400,11507,66,86,,0,87,100
C+,SP-AP Statistics,C420,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],C+,76813_2017-08-15,11507 C420,11507,33,78,80,0,79,100
B,SP-AP Environmental Science,D430,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B,76802_2017-08-15,11507 D430,11507,76,81,,0,85,100
B,SP-AP Environmental Science,D430,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B,76833_2017-08-15,11507 D430,11507,76,81,,0,85,100
