corrected_grade,COURSE_NAME,COURSE_NUMBER,grade_type,inc_ovrdue?,inc_pfa?,inc_project?,LETTER_GRADE,stu_crs_lookup,STUDENT_ID,Max. ADDL_EXPECTED_PCNT,Max. COG_SKILL_PCNT,Max. CONCEPT_PCNT,Max. NUM_PROJECTS_OVERDUE,Max. OVERALL_SCORE,Max. POWER_EXPECTED_PCNT
A+,SP-AP Government,A400,project,FALSE,FALSE,FALSE,A+,11504 A400,11504,100,99,,0,99,100
A+,SP-AP English Literature,B400,project,FALSE,FALSE,FALSE,A+,11504 B400,11504,100,97,,0,98,100
A+,SP-AP Calculus AB,C400,project,FALSE,FALSE,FALSE,A+,11504 C400,11504,100,96,98,0,98,100
A+,SP-AP Environmental Science,D430,project,FALSE,FALSE,FALSE,A+,11504 D430,11504,100,96,,0,97,100
P,Internship,I139,pnp_elec,FALSE,FALSE,FALSE,A-,11504 I139,11504,100,88,,0,92,100
I,SP-AP Government,A400,project,TRUE,FALSE,FALSE,I,11506 A400,11506,0,73,,2,72,100
I,SP-AP English Literature,B400,project,TRUE,FALSE,TRUE,I,11506 B400,11506,0,55,,1,60,100
I,SP-AP Statistics,C420,project,TRUE,TRUE,TRUE,I,11506 C420,11506,0,84,65,1,65,63
I,SP-AP Environmental Science,D430,project,TRUE,TRUE,FALSE,I,11506 D430,11506,9,84,,2,79,92
NP,Internship,I139,pnp_elec,FALSE,FALSE,TRUE,I,11506 I139,11506,100,34,,0,54,100
I,SP-AP Government,A400,project,TRUE,FALSE,FALSE,I,11507 A400,11507,100,86,,1,90,100
B+,SP-AP English Literature,B400,project,FALSE,FALSE,FALSE,B+,11507 B400,11507,80,85,,0,88,100
I,SP-AP Statistics,C420,project,FALSE,TRUE,FALSE,I,11507 C420,11507,40,75,74,0,75,90
B+,SP-AP Environmental Science,D430,project,FALSE,FALSE,FALSE,B+,11507 D430,11507,90,85,,0,89,100
NP,Internship,I139,pnp_elec,FALSE,FALSE,TRUE,I,11507 I139,11507,100,66,,0,76,100
I,SP-AP Government,A400,project,TRUE,TRUE,TRUE,I,11508 A400,11508,0,36,,3,42,77
I,SP-AP English Literature,B400,project,TRUE,FALSE,FALSE,I,11508 B400,11508,0,70,,1,70,100
I,SP-AP Statistics,C420,project,TRUE,TRUE,TRUE,I,11508 C420,11508,0,,57,2,38,18
I,SP-AP Environmental Science,D430,project,TRUE,FALSE,TRUE,I,11508 D430,11508,0,69,,3,69,100
P,Teaching Assistant (all courses) (E),I1106HG,pnp_elec,FALSE,FALSE,FALSE,B,11508 I1106HG,11508,,,,0,85,
P,Teaching Assistant (all courses) (E),I1106SL,pnp_elec,FALSE,FALSE,FALSE,B,11508 I1106SL,11508,,,,0,85,
I,SP-AP Government,A400,project,TRUE,TRUE,FALSE,I,11509 A400,11509,0,84,,2,77,88
B-,SP-AP English Literature,B400,project,FALSE,FALSE,FALSE,B-,11509 B400,11509,0,87,,0,82,100
I,SP-AP Statistics,C420,project,TRUE,TRUE,TRUE,I,11509 C420,11509,0,81,69,1,71,90
I,SP-AP Environmental Science,D430,project,TRUE,TRUE,FALSE,I,11509 D430,11509,0,90,,2,82,92
NP,Wilderness Perspectives,I108,pnp_elec,TRUE,TRUE,FALSE,I,11509 I108,11509,100,72,,1,70,66
I,SP-AP Government,A400,project,TRUE,FALSE,FALSE,I,11510 A400,11510,50,73,,1,77,100
B,SP-AP English Literature,B400,project,FALSE,FALSE,FALSE,B,11510 B400,11510,60,81,,0,83,100
C,SP-AP Statistics,C420,project,FALSE,FALSE,FALSE,C,11510 C420,11510,0,81,73,0,75,100
B-,SP-AP Environmental Science,D430,project,FALSE,FALSE,FALSE,B-,11510 D430,11510,45,81,,0,82,100
I,SP-AP Spanish Language,E400,project,TRUE,FALSE,FALSE,I,11510 E400,11510,20,,,1,84,100
P,Independent Study,I106,pnp_elec,FALSE,FALSE,FALSE,C+,11510 I106,11510,100,70,,0,79,100
I,SP-AP Government,A400,project,TRUE,FALSE,FALSE,I,11512 A400,11512,0,71,,3,71,100
C,SP-AP English Literature,B400,project,FALSE,FALSE,FALSE,C,11512 B400,11512,0,75,,0,74,100
I,SP-AP Statistics,C420,project,FALSE,TRUE,TRUE,I,11512 C420,11512,0,,68,0,58,63
C,SP-AP Environmental Science,D430,project,FALSE,FALSE,FALSE,C,11512 D430,11512,0,77,,0,75,100
I,SP-Spanish 3,E300,project,TRUE,TRUE,FALSE,I,11512 E300,11512,0,,,1,57,66
B,Entrepreneurship,G022,a_f_elec,FALSE,FALSE,FALSE,B,11512 G022,11512,100,79,,0,85,100
P,Intro to Programming,I1106ICS,pnp_elec,FALSE,FALSE,FALSE,C-,11512 I1106ICS,11512,0,70,,0,70,100
I,SP-AP Government,A400,project,TRUE,FALSE,FALSE,I,11514 A400,11514,50,79,,2,81,100
B,SP-AP English Literature,B400,project,FALSE,FALSE,FALSE,B,11514 B400,11514,60,81,,0,83,100
I,SP-AP Statistics,C420,project,TRUE,TRUE,FALSE,I,11514 C420,11514,20,81,88,1,80,90
B-,SP-AP Environmental Science,D430,project,FALSE,FALSE,FALSE,B-,11514 D430,11514,54,80,,0,82,100
