corrected_grade,COURSE_NAME,COURSE_NUMBER,date_of_pull,grade_type,inc_reason,LETTER_GRADE,SIS_SECTION_ID,stu_crs_lookup,STUDENT_ID,Max. ADDL_EXPECTED_PCNT,Max. COG_SKILL_PCNT,Max. CONCEPT_PCNT,Max. NUM_PROJECTS_OVERDUE,Max. OVERALL_SCORE,Max. POWER_EXPECTED_PCNT
A+,OL-Modern World 1,A100,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,3825,50632 A100,50632,100,99,,0,99,100
A+,OL-English 9,B100,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,3821,50632 B100,50632,100,100,,0,100,100
A+,OL-Math II,C220,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,3840,50632 C220,50632,100,99,100,0,100,100
A+,OL-Biology,D100,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,3847,50632 D100,50632,100,100,,0,100,100
A+,OL-Spanish 1,E100,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,3853,50632 E100,50632,100,,,0,100,100
A,SI-AP US History,A300,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A,5252,110001 A300,110001,100,90,,0,93,100
A+,SI-AP English Language,B300,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,5089,110001 B300,110001,100,96,,0,97,100
A,SI-Math III,C320,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A,5327,110001 C320,110001,45,,99,0,94,100
A-,SI-Chemistry,D200,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A-,5331,110001 D200,110001,87,88,,0,90,100
B+,SI-Spanish 3,E300,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B+,5355,110001 E300,110001,66,,,0,87,100
P,College Readiness- WA,I1045,6/20/2018 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A,5347,110001 I1045,110001,100,90,,0,93,100
A,SI-AP US History,A300,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A,5252,110002 A300,110002,100,94,,0,96,100
A+,SI-AP English Language,B300,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,5091,110002 B300,110002,100,100,,0,100,100
A+,SI-Math III,C320,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,5261,110002 C320,110002,100,,98,0,99,100
A+,SI-Chemistry,D200,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,5238,110002 D200,110002,100,97,,0,98,100
P,College Readiness- WA,I1045,6/20/2018 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A,5248,110002 I1045,110002,100,90,,0,93,100
B,SI-AP US History,A300,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B,5264,110004 A300,110004,13,87,,0,83,100
A-,SI-AP English Language,B300,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A-,5092,110004 B300,110004,75,90,,0,91,100
B,SI-Math III,C320,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B,5308,110004 C320,110004,18,,89,0,85,100
B,SI-Chemistry,D200,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B,5237,110004 D200,110004,50,86,,0,86,100
B-,SI-Spanish 2,E200,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B-,5323,110004 E200,110004,28,,,0,80,100
P,College Readiness- WA,I1045,6/20/2018 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A-,5335,110004 I1045,110004,100,87,,0,91,100
A,SI-AP US History,A300,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A,5343,110005 A300,110005,100,93,,0,95,100
A+,SI-AP English Language,B300,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,5090,110005 B300,110005,100,100,,0,100,100
A,SI-Math III,C320,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A,5261,110005 C320,110005,36,,99,0,94,100
A,SI-Chemistry,D200,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A,5238,110005 D200,110005,100,91,,0,94,100
A,SI-Spanish 3,E300,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A,5247,110005 E300,110005,100,,,0,93,100
P,College Readiness- WA,I1045,6/20/2018 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A,5283,110005 I1045,110005,100,93,,0,95,100
B-,SI-AP US History,A300,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B-,5252,110007 A300,110007,33,80,,0,80,100
B,SI-AP English Language,B300,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B,5092,110007 B300,110007,100,76,,0,83,100
A-,SI-Math III,C320,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A-,5308,110007 C320,110007,90,,87,0,90,100
C,SI-Chemistry,D200,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],C,5237,110007 D200,110007,0,75,,0,74,100
P,College Readiness- WA,I1045,6/20/2018 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A-,5283,110007 I1045,110007,100,85,,0,90,100
A+,SI-AP US History,A300,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,5252,110008 A300,110008,100,95,,0,97,100
A+,SI-AP English Language,B300,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,5089,110008 B300,110008,100,100,,0,100,100
A+,SI-Math III,C320,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,5327,110008 C320,110008,100,,100,0,100,100
A+,SI-Chemistry,D200,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,5331,110008 D200,110008,100,95,,0,97,100
A+,SI-Spanish 3,E300,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,5355,110008 E300,110008,100,,,0,97,100
P,College Readiness- WA,I1045,6/20/2018 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A-,5347,110008 I1045,110008,100,88,,0,92,100
A,SI-AP US History,A300,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A,5230,110010 A300,110010,80,95,,0,95,100
A+,SI-AP English Language,B300,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,5091,110010 B300,110010,75,100,,0,98,100
A,SI-Math III,C320,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A,5258,110010 C320,110010,63,,99,0,96,100
A,SI-Chemistry,D200,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A,5257,110010 D200,110010,100,92,,0,94,100
A,SI-Spanish 3,E300,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A,5247,110010 E300,110010,88,,,0,93,100
P,College Readiness- WA,I1045,6/20/2018 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A,5335,110010 I1045,110010,100,91,,0,94,100
B-,SI-AP US History,A300,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B-,5252,110011 A300,110011,40,79,,0,80,100
B,SI-AP English Language,B300,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B,5092,110011 B300,110011,100,77,,0,84,100
B,SI-Math III,C320,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B,5258,110011 C320,110011,63,,80,0,83,100
C-,SI-Chemistry,D200,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],C-,5257,110011 D200,110011,12,70,,0,71,100
P,College Readiness- WA,I1045,6/20/2018 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A-,5283,110011 I1045,110011,100,87,,0,91,100
A-,SI-AP US History,A300,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A-,5343,110012 A300,110012,93,87,,0,90,100
A,SI-AP English Language,B300,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A,5090,110012 B300,110012,100,90,,0,93,100
A,SI-Math III,C320,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A,5261,110012 C320,110012,54,,96,0,93,100
A-,SI-Chemistry,D200,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A-,5238,110012 D200,110012,100,85,,0,90,100
A-,SI-Spanish 3,E300,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A-,5247,110012 E300,110012,77,,,0,90,100
P,College Readiness- WA,I1045,6/20/2018 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,5283,110012 I1045,110012,100,98,,0,99,100
C+,SI-AP US History,A300,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],C+,5264,110014 A300,110014,13,81,,0,79,100
C,SI-Chemistry,D200,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],C,5257,110014 D200,110014,0,78,,0,76,100
A-,SI-AP US History,A300,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A-,5252,110015 A300,110015,100,87,,0,91,100
A-,SI-AP English Language,B300,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A-,5092,110015 B300,110015,100,89,,0,92,100
A-,SI-Math III,C320,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A-,5258,110015 C320,110015,72,,90,0,91,100
B,SI-Chemistry,D200,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B,5257,110015 D200,110015,100,79,,0,85,100
B+,SI-Spanish 3,E300,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B+,5355,110015 E300,110015,100,,,0,87,100
P,College Readiness- WA,I1045,6/20/2018 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A,5248,110015 I1045,110015,100,90,,0,93,100
A-,SI-AP US History,A300,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A-,5230,110017 A300,110017,100,88,,0,92,100
A+,SI-AP English Language,B300,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,5090,110017 B300,110017,100,99,,0,99,100
A,SI-Math III,C320,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A,5261,110017 C320,110017,36,,98,0,93,100
A-,SI-Chemistry,D200,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A-,5237,110017 D200,110017,100,85,,0,90,100
B+,SI-Spanish 3,E300,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B+,5247,110017 E300,110017,100,,,0,87,100
P,College Readiness- WA,I1045,6/20/2018 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A-,5283,110017 I1045,110017,100,88,,0,92,100
C,SI-AP US History,A300,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],C,5252,110021 A300,110021,0,74,,0,73,100
C,SI-AP English Language,B300,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],C,5091,110021 B300,110021,25,71,,0,73,100
C+,SI-Math III,C320,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],C+,5308,110021 C320,110021,0,,81,0,78,100
C-,SI-Chemistry,D200,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],C-,5237,110021 D200,110021,0,70,,0,70,100
I,SI-Spanish 2,E200,6/20/2018 12:00:00 AM,project,PFA?[X] Proj Score?[_] Ovrdue Proj?[X],I,5268,110021 E200,110021,0,,,3,46,27
P,College Readiness- WA,I1045,6/20/2018 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A-,5347,110021 I1045,110021,100,88,,0,92,100
B-,SI-AP US History,A300,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B-,5264,110022 A300,110022,53,78,,0,80,100
C+,SI-AP English Language,B300,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],C+,5089,110022 B300,110022,75,70,,0,77,100
B,SI-Math III,C320,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B,5327,110022 C320,110022,54,,83,0,84,100
I,SI-Chemistry,D200,6/20/2018 12:00:00 AM,project,PFA?[X] Proj Score?[_] Ovrdue Proj?[_],I,5331,110022 D200,110022,12,71,,0,67,78
P,College Readiness- WA,I1045,6/20/2018 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A-,5347,110022 I1045,110022,100,85,,0,90,100
A-,SI-Chemistry,D200,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A-,5257,110025 D200,110025,100,89,,0,92,100
A-,SI-AP US History,A300,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A-,5252,110028 A300,110028,100,87,,0,91,100
A-,SI-AP English Language,B300,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A-,5089,110028 B300,110028,100,88,,0,92,100
A+,SI-Math III,C320,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,5327,110028 C320,110028,100,,95,0,97,100
A-,SI-Chemistry,D200,6/20/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A-,5331,110028 D200,110028,100,88,,0,92,100
P,College Readiness- WA,I1045,6/20/2018 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A-,5347,110028 I1045,110028,100,88,,0,92,100
I,SI-AP US History,A300,6/20/2018 12:00:00 AM,project,PFA?[X] Proj Score?[_] Ovrdue Proj?[_],I,5264,110029 A300,110029,0,79,,0,60,21
I,SI-AP English Language,B300,6/20/2018 12:00:00 AM,project,PFA?[X] Proj Score?[_] Ovrdue Proj?[X],I,5092,110029 B300,110029,0,71,,2,60,50
