,local_student_id,site_id,grading_period_name,academic_year,local_section_id,school_course_id,corrected_grade,max_credits,credits_received,is_final?,is_repeat?,session_type_id
0,130094,13,Final Grades,2018,History 6-Hen-T2A,A006,A,1.0,1.0,1,0,1
1,130094,13,Final Grades,2018,English 6-Wil-M2A,B006,A,1.0,1.0,1,0,1
2,130094,13,Final Grades,2018,Math 6-Won-T1A,C006,A+,1.0,1.0,1,0,1
3,130094,13,Final Grades,2018,Science 6-Wol-M1A,D006,A+,1.0,1.0,1,0,1
4,130173,13,Final Grades,2018,History 6-Hen-M2A,A006,C+,1.0,1.0,1,0,1
5,130173,13,Final Grades,2018,English 6-Wil-T1A,B006,C+,1.0,1.0,1,0,1
6,130173,13,Final Grades,2018,Math 6-Won-T2A,C006,C,1.0,1.0,1,0,1
7,130173,13,Final Grades,2018,Science 6-Wol-M1A,D006,C+,1.0,1.0,1,0,1
8,130173,13,Final Grades,2018,TAB-Pot-T3A,I1048,,1.0,1.0,1,0,1
9,130136,13,Final Grades,2018,History 6-Hen-M2A,A006,B,1.0,1.0,1,0,1
10,130136,13,Final Grades,2018,English 6-Wil-M1A,B006,B+,1.0,1.0,1,0,1
11,130136,13,Final Grades,2018,Math 6-Won-T2A,C006,B,1.0,1.0,1,0,1
12,130136,13,Final Grades,2018,Science 6-Wol-T1A,D006,A-,1.0,1.0,1,0,1
13,130140,13,Final Grades,2018,History 6-Hen-T1A,A006,B,1.0,1.0,1,0,1
14,130140,13,Final Grades,2018,English 6-Wil-T2A,B006,B+,1.0,1.0,1,0,1
15,130140,13,Final Grades,2018,Math 6-Won-M1A,C006,B,1.0,1.0,1,0,1
16,130140,13,Final Grades,2018,Science 6-Wol-M2A,D006,C+,1.0,1.0,1,0,1
17,130047,13,Final Grades,2018,History 6-Hen-M1A,A006,A+,1.0,1.0,1,0,1
18,130047,13,Final Grades,2018,English 6-Wil-T1A,B006,A-,1.0,1.0,1,0,1
19,130047,13,Final Grades,2018,Math 6-Won-M2A,C006,A-,1.0,1.0,1,0,1
20,130047,13,Final Grades,2018,Science 6-Wol-T2A,D006,A,1.0,1.0,1,0,1
21,130047,13,Final Grades,2018,Conditioning 6th B-Pec-T3A,I1068,,1.0,1.0,1,0,1
22,130118,13,Final Grades,2018,History 6-Hen-M1A,A006,A,1.0,1.0,1,0,1
23,130118,13,Final Grades,2018,English 6-Wil-T1A,B006,A-,1.0,1.0,1,0,1
24,130118,13,Final Grades,2018,Math 6-Won-M2A,C006,A+,1.0,1.0,1,0,1
25,130118,13,Final Grades,2018,Science 6-Wol-T2A,D006,A,1.0,1.0,1,0,1
26,130118,13,Final Grades,2018,TAB-Pot-T3A,I1048,,1.0,1.0,1,0,1
27,130012,13,Final Grades,2018,History 6-Hen-T1A,A006,B+,1.0,1.0,1,0,1
28,130012,13,Final Grades,2018,English 6-Wil-M2A,B006,B+,1.0,1.0,1,0,1
29,130012,13,Final Grades,2018,Math 6-Won-M1A,C006,B,1.0,1.0,1,0,1
30,130012,13,Final Grades,2018,Science 6-Wol-T2A,D006,B-,1.0,1.0,1,0,1
31,130012,13,Final Grades,2018,TAB-Pot-T3A,I1048,,1.0,1.0,1,0,1
32,130141,13,Final Grades,2018,History 6-Hen-T2A,A006,B-,1.0,1.0,1,0,1
33,130141,13,Final Grades,2018,English 6-Wil-M1A,B006,C+,1.0,1.0,1,0,1
34,130141,13,Final Grades,2018,Math 6-Won-T1A,C006,C-,1.0,1.0,1,0,1
35,130141,13,Final Grades,2018,Science 6-Wol-M2A,D006,B-,1.0,1.0,1,0,1
36,130141,13,Final Grades,2018,Conditioning 6th A-Pec-M3A,I1068,,1.0,1.0,1,0,1
37,130185,13,Final Grades,2018,History 6-Hen-T2A,A006,A-,1.0,1.0,1,0,1
38,130185,13,Final Grades,2018,English 6-Wil-M1A,B006,A-,1.0,1.0,1,0,1
39,130185,13,Final Grades,2018,Math 6-Won-T1A,C006,A-,1.0,1.0,1,0,1
40,130185,13,Final Grades,2018,Science 6-Wol-M2A,D006,A-,1.0,1.0,1,0,1
41,130185,13,Final Grades,2018,TAB-Pot-T3A,I1048,,1.0,1.0,1,0,1
42,130002,13,Final Grades,2018,History 6-Hen-M2A,A006,B,1.0,1.0,1,0,1
43,130002,13,Final Grades,2018,English 6-Wil-T2A,B006,B+,1.0,1.0,1,0,1
44,130002,13,Final Grades,2018,Math 6-Won-T1A,C006,B+,1.0,1.0,1,0,1
45,130002,13,Final Grades,2018,Science 6-Wol-M1A,D006,B,1.0,1.0,1,0,1
