,local_student_id,site_id,grading_period_name,academic_year,local_section_id,school_course_id,corrected_grade,max_credits,credits_received,is_final?,is_repeat?,session_type_id
0,21266,4,Final Grades,2018,75781,A100,B+,1.0,1.0,1,0,1
1,21266,4,Final Grades,2018,75750,B100,A-,1.0,1.0,1,0,1
2,21266,4,Final Grades,2018,75797,C120,A,1.0,1.0,1,0,1
3,21266,4,Final Grades,2018,75840,D100,B,1.0,1.0,1,0,1
4,21266,4,Final Grades,2018,75775,E100,B+,1.0,1.0,1,0,1
5,21266,4,Final Grades,2018,2018EVERF511PMEsp,F511,B,1.0,1.0,1,0,1
6,21266,4,Final Grades,2018,83165,I1999,P,1.0,1.0,1,0,1
7,21219,4,Final Grades,2018,75781,A100,I,1.0,0.0,1,0,1
8,21219,4,Final Grades,2018,75820,B100,I,1.0,0.0,1,0,1
9,21219,4,Final Grades,2018,75850,C120,B-,1.0,1.0,1,0,1
10,21219,4,Final Grades,2018,75848,D100,I,1.0,0.0,1,0,1
11,21219,4,Final Grades,2018,2018EVERF562AMEsp,F562,C,1.0,1.0,1,0,1
12,21219,4,Final Grades,2018,82772,I289,P,1.0,1.0,1,0,1
13,21295,4,Final Grades,2018,75781,A100,A,1.0,1.0,1,0,1
14,21295,4,Final Grades,2018,75820,B100,A,1.0,1.0,1,0,1
15,21295,4,Final Grades,2018,75850,C120,A-,1.0,1.0,1,0,1
16,21295,4,Final Grades,2018,75778,D300,B+,1.0,1.0,1,0,1
17,21295,4,Final Grades,2018,2018EVERF502AMEbb,F502,,1.0,1.0,1,0,1
18,21295,4,Final Grades,2018,82772,I289,P,1.0,1.0,1,0,1
19,21283,4,Final Grades,2018,75844,A100,B-,1.0,1.0,1,0,1
20,21283,4,Final Grades,2018,75750,B100,B,1.0,1.0,1,0,1
21,21283,4,Final Grades,2018,75790,C120,B-,1.0,1.0,1,0,1
22,21283,4,Final Grades,2018,75840,D100,B-,1.0,1.0,1,0,1
23,21283,4,Final Grades,2018,75775,E100,A-,1.0,1.0,1,0,1
24,21283,4,Final Grades,2018,2018EVERF562AMEsp,F562,B-,1.0,1.0,1,0,1
25,21283,4,Final Grades,2018,2018EVERI299PMDeO,G299,A-,1.0,1.0,1,0,1
26,21282,4,Final Grades,2018,75787,A100,I,1.0,0.0,1,0,1
27,21282,4,Final Grades,2018,75769,B100,C,1.0,1.0,1,0,1
28,21282,4,Final Grades,2018,75797,C120,B-,1.0,1.0,1,0,1
29,21282,4,Final Grades,2018,75840,D100,C,1.0,1.0,1,0,1
30,21282,4,Final Grades,2018,2018EVERI199AMDeO,G199,I,1.0,0.0,1,0,1
31,21282,4,Final Grades,2018,2018EVERI345PMEbb,I345,P,1.0,1.0,1,0,1
32,21185,4,Final Grades,2018,75781,A100,B,1.0,1.0,1,0,1
33,21185,4,Final Grades,2018,75820,B100,B,1.0,1.0,1,0,1
34,21185,4,Final Grades,2018,75797,C120,B-,1.0,1.0,1,0,1
35,21185,4,Final Grades,2018,75848,D100,B,1.0,1.0,1,0,1
36,21185,4,Final Grades,2018,75837,E100,B-,1.0,1.0,1,0,1
37,21185,4,Final Grades,2018,82772,I289,P,1.0,1.0,1,0,1
38,21202,4,Final Grades,2018,75787,A100,B-,1.0,1.0,1,0,1
39,21202,4,Final Grades,2018,75820,B100,B+,1.0,1.0,1,0,1
40,21202,4,Final Grades,2018,75790,C120,B-,1.0,1.0,1,0,1
41,21202,4,Final Grades,2018,75848,D100,B-,1.0,1.0,1,0,1
42,21202,4,Final Grades,2018,75775,E100,B,1.0,1.0,1,0,1
43,21202,4,Final Grades,2018,2018EVERF511PMEsp,F511,C+,1.0,1.0,1,0,1
44,21202,4,Final Grades,2018,2018EVERI121AMDai,I121,P,1.0,1.0,1,0,1
45,21162,4,Final Grades,2018,75781,A100,A,1.0,1.0,1,0,1
46,21162,4,Final Grades,2018,75750,B100,A+,1.0,1.0,1,0,1
47,21162,4,Final Grades,2018,75797,C120,A,1.0,1.0,1,0,1
48,21162,4,Final Grades,2018,75840,D100,A,1.0,1.0,1,0,1
49,21162,4,Final Grades,2018,2018EVERF504PMRot,F511,B,1.0,1.0,1,0,1
50,21162,4,Final Grades,2018,2018EVERI607PMGom,I607,P,1.0,1.0,1,0,1
51,21274,4,Final Grades,2018,75844,A100,C+,1.0,1.0,1,0,1
52,21274,4,Final Grades,2018,75750,B100,B-,1.0,1.0,1,0,1
53,21274,4,Final Grades,2018,75757,C120,B,1.0,1.0,1,0,1
54,21274,4,Final Grades,2018,75780,D100,B-,1.0,1.0,1,0,1
55,21274,4,Final Grades,2018,2018EVERF562AMEsp,F562,B-,1.0,1.0,1,0,1
56,21253,4,Final Grades,2018,75787,A100,A-,1.0,1.0,1,0,1
57,21253,4,Final Grades,2018,75820,B100,A,1.0,1.0,1,0,1
58,21253,4,Final Grades,2018,75790,C120,B,1.0,1.0,1,0,1
59,21253,4,Final Grades,2018,75848,D100,A-,1.0,1.0,1,0,1
60,21253,4,Final Grades,2018,2018EVERF511PMEsp,F511,B+,1.0,1.0,1,0,1
61,21236,4,Final Grades,2018,75787,A100,C+,1.0,1.0,1,0,1
62,21236,4,Final Grades,2018,75769,B100,C+,1.0,1.0,1,0,1
63,21236,4,Final Grades,2018,75797,C120,C+,1.0,1.0,1,0,1
64,21236,4,Final Grades,2018,75840,D100,C,1.0,1.0,1,0,1
65,21236,4,Final Grades,2018,82772,I289,P,1.0,1.0,1,0,1
66,21264,4,Final Grades,2018,75830,A100,B+,1.0,1.0,1,0,1
67,21264,4,Final Grades,2018,75750,B100,A,1.0,1.0,1,0,1
68,21264,4,Final Grades,2018,75757,C120,B,1.0,1.0,1,0,1
69,21264,4,Final Grades,2018,75821,D100,B+,1.0,1.0,1,0,1
70,21264,4,Final Grades,2018,2018EVERF504PMRot,F511,A,1.0,1.0,1,0,1
71,21264,4,Final Grades,2018,82771,I514,P,1.0,1.0,1,0,1
72,21273,4,Final Grades,2018,75830,A100,A+,1.0,1.0,1,0,1
73,21273,4,Final Grades,2018,75769,B100,A+,1.0,1.0,1,0,1
74,21273,4,Final Grades,2018,75791,C220,A+,1.0,1.0,1,0,1
75,21273,4,Final Grades,2018,75840,D100,A,1.0,1.0,1,0,1
76,21273,4,Final Grades,2018,2018EVERF502AMEbb,F502,A+,1.0,1.0,1,0,1
77,21273,4,Final Grades,2018,2018EVERF572AMAba,F572,,1.0,1.0,1,0,1
78,21252,4,Final Grades,2018,75844,A100,A-,1.0,1.0,1,0,1
79,21252,4,Final Grades,2018,75769,B100,A+,1.0,1.0,1,0,1
80,21252,4,Final Grades,2018,75797,C120,A+,1.0,1.0,1,0,1
81,21252,4,Final Grades,2018,75840,D100,A-,1.0,1.0,1,0,1
82,21252,4,Final Grades,2018,75837,E100,A,1.0,1.0,1,0,1
83,21252,4,Final Grades,2018,2018EVERF511PMEsp,F511,B-,1.0,1.0,1,0,1
84,21252,4,Final Grades,2018,82771,I514,P,1.0,1.0,1,0,1
85,21257,4,Final Grades,2018,75830,A100,A,1.0,1.0,1,0,1
86,21257,4,Final Grades,2018,75769,B100,A+,1.0,1.0,1,0,1
87,21257,4,Final Grades,2018,75757,C120,A+,1.0,1.0,1,0,1
88,21257,4,Final Grades,2018,75848,D100,A,1.0,1.0,1,0,1
89,21257,4,Final Grades,2018,75838,E200,A,1.0,1.0,1,0,1
90,21257,4,Final Grades,2018,2018EVERF511PMEsp,F511,A+,1.0,1.0,1,0,1
91,21257,4,Final Grades,2018,82771,I514,P,1.0,1.0,1,0,1
92,21247,4,Final Grades,2018,75787,A100,C+,1.0,1.0,1,0,1
93,21247,4,Final Grades,2018,75847,B100,I,1.0,0.0,1,0,1
94,21247,4,Final Grades,2018,75757,C120,C-,1.0,1.0,1,0,1
95,21247,4,Final Grades,2018,75780,D100,I,1.0,0.0,1,0,1
96,21247,4,Final Grades,2018,83164,I228,P,1.0,1.0,1,0,1
97,21180,4,Final Grades,2018,75830,A100,B,1.0,1.0,1,0,1
98,21180,4,Final Grades,2018,75750,B100,A,1.0,1.0,1,0,1
99,21180,4,Final Grades,2018,75757,C120,B+,1.0,1.0,1,0,1
100,21180,4,Final Grades,2018,75780,D100,B-,1.0,1.0,1,0,1
101,21180,4,Final Grades,2018,2018EVERI197PMMar,G297,B-,1.0,1.0,1,0,1
102,21180,4,Final Grades,2018,2018EVERI300AMMar,I300,P,1.0,1.0,1,0,1
103,21220,4,Final Grades,2018,75787,A100,C+,1.0,1.0,1,0,1
104,21220,4,Final Grades,2018,75847,B100,B,1.0,1.0,1,0,1
105,21220,4,Final Grades,2018,75790,C120,B-,1.0,1.0,1,0,1
106,21220,4,Final Grades,2018,75821,D100,I,1.0,0.0,1,0,1
107,21220,4,Final Grades,2018,2018EVERF502AMEbb,F502,A+,1.0,1.0,1,0,1
108,21220,4,Final Grades,2018,2018EVERF572AMAba,F572,F,1.0,0.0,1,0,1
109,21259,4,Final Grades,2018,75781,A100,B,1.0,1.0,1,0,1
110,21259,4,Final Grades,2018,75847,B100,B,1.0,1.0,1,0,1
111,21259,4,Final Grades,2018,75850,C120,C+,1.0,1.0,1,0,1
112,21259,4,Final Grades,2018,75840,D100,C+,1.0,1.0,1,0,1
113,21259,4,Final Grades,2018,2018EVERF504PMRot,F511,F,1.0,0.0,1,0,1
114,21259,4,Final Grades,2018,2018EVERI607PMGom,I607,P,1.0,1.0,1,0,1
115,21231,4,Final Grades,2018,75781,A100,C+,1.0,1.0,1,0,1
116,21231,4,Final Grades,2018,75750,B100,C+,1.0,1.0,1,0,1
117,21231,4,Final Grades,2018,75850,C120,C,1.0,1.0,1,0,1
118,21231,4,Final Grades,2018,75848,D100,B,1.0,1.0,1,0,1
119,21231,4,Final Grades,2018,2018EVERF572AMAba,F572,A+,1.0,1.0,1,0,1
