corrected_grade,COURSE_NAME,COURSE_NUMBER,date_of_pull,grade_type,inc_reason,LETTER_GRADE,SIS_SECTION_ID,stu_crs_lookup,STUDENT_ID,Max. ADDL_EXPECTED_PCNT,Max. COG_SKILL_PCNT,Max. CONCEPT_PCNT,Max. NUM_PROJECTS_OVERDUE,Max. OVERALL_SCORE,Max. POWER_EXPECTED_PCNT
A+,OL-Modern World 2,A200,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,6364,50632 A200,50632,100,100,,0,100,100
A+,OL-English 10,B200,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,6310,50632 B200,50632,100,100,,0,100,100
A+,OL-Math III,C320,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,6351,50632 C320,50632,66,,100,0,97,100
B,OL-Chemistry,D200,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B,7774,50632 D200,50632,0,88,,0,83,100
A+,OL-Physics,D300,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,6311,50632 D300,50632,66,100,,0,97,100
A+,OL-AP Environmental Science,D430,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,6294,50632 D430,50632,66,100,,0,97,100
A+,OL-Spanish 2,E200,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,6305,50632 E200,50632,75,,,0,98,100
NO GRADE,Mentor,H130,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],,6338,50632 H130,50632,,,,0,,
NO GRADE,"SPS-Leadership I (10th Grade HCC, 2018-19)",H130,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],,6338,50632 H130,50632,,,,0,,
NO GRADE,WA History - Olympus,S5000,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],N/A,7775,50632 S5000,50632,100,,,0,,100
A+,SI-AP Government,A400,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,7210,110001 A400,110001,100,100,,0,100,100
A-,SI-AP English Literature,B400,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A-,7274,110001 B400,110001,100,89,,0,92,100
A,SI-AP Calculus,C400,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A,7241,110001 C400,110001,33,,100,0,94,100
A+,SI-AP Environmental Science,D430,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,7243,110001 D430,110001,100,96,,0,97,100
I,AP Computer Science Principles,G104,1/15/2019 12:00:00 AM,a_f_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[X],I,7255,110001 G104,110001,100,100,,1,100,100
NO GRADE,Mentor,H144,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],,7490,110001 H144,110001,,,,0,,
NO GRADE,SI-College Readiness (2019),H144,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],N/A,7490,110001 H144,110001,100,,,0,,100
NO GRADE,Health (WA),I199,1/15/2019 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],N/A,7776,110001 I199,110001,100,,,0,,100
A+,SI-AP Government,A400,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,7285,110002 A400,110002,100,100,,0,100,100
A+,SI-AP English Literature,B400,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,7186,110002 B400,110002,100,100,,0,100,100
A,SI-AP Calculus,C400,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A,7185,110002 C400,110002,33,,100,0,94,100
A+,SI-AP Environmental Science,D430,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,7202,110002 D430,110002,100,99,,0,99,100
A+,AP Computer Science Principles,G104,1/15/2019 12:00:00 AM,a_f_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,7255,110002 G104,110002,100,100,,0,100,100
NO GRADE,Mentor,H144,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],,7524,110002 H144,110002,,,,0,,
