,local_student_id,site_id,grading_period_name,academic_year,local_section_id,school_course_id,corrected_grade,max_credits,credits_received,is_final?,is_repeat?,session_type_id
0,120029,12,Final Grades,2019,A400-Crain-Gold 2,A400,B-,1.0,1.0,0,0,1
1,120029,12,Final Grades,2019,B400-Leon-Gold 3,B400,A-,1.0,1.0,0,0,1
2,120029,12,Final Grades,2019,D430-Prohuska-Blue 3,D430,B+,1.0,1.0,0,0,1
3,120029,12,Final Grades,2019,F502-Guerra-Gold 4,F502,A,1.0,1.0,0,0,1
4,120029,12,Final Grades,2019,I1043-Breneman-Blue 4,I1043,P,1.0,1.0,0,0,1
5,120029,12,Final Grades,2019,S4100-Harmon-Blue 2,S4100,A+,1.0,1.0,0,0,1
6,120376,12,Final Grades,2019,A400-Crain-Gold 4,A400,B+,1.0,1.0,0,0,1
7,120376,12,Final Grades,2019,B400-Leon-Gold 2,B400,B,1.0,1.0,0,0,1
8,120376,12,Final Grades,2019,C402-Hansen-Blue 3,C402,A-,1.0,1.0,0,0,1
9,120376,12,Final Grades,2019,D430-Prohuska-Blue 4,D430,B-,1.0,1.0,0,0,1
10,120376,12,Final Grades,2019,F502-Guerra-Blue 2,F502,B,1.0,1.0,0,0,1
11,120380,12,Final Grades,2019,A400-Crain-Gold 3,A400,I,1.0,0.0,0,0,1
12,120380,12,Final Grades,2019,B400-Leon-Gold 2,B400,I,1.0,0.0,0,0,1
13,120380,12,Final Grades,2019,C402-Hansen-Blue 3,C402,I,1.0,0.0,0,0,1
14,120380,12,Final Grades,2019,D430-Prohuska-Blue 2,D430,I,1.0,0.0,0,0,1
15,120380,12,Final Grades,2019,E400-Lopez-Blue 4,E400,I,1.0,0.0,0,0,1
16,120380,12,Final Grades,2019,F502-Guerra-Gold 4,F502,I,1.0,0.0,0,0,1
17,120068,12,Final Grades,2019,A400-Crain-Gold 3,A400,B-,1.0,1.0,0,0,1
18,120068,12,Final Grades,2019,B400-Leon-Gold 4,B400,C,1.0,1.0,0,0,1
19,120068,12,Final Grades,2019,D430-Prohuska-Blue 3,D430,C+,1.0,1.0,0,0,1
20,120068,12,Final Grades,2019,I1043-Breneman-Blue 4,I1043,P,1.0,1.0,0,0,1
21,120068,12,Final Grades,2019,7584,I136OP,NO GRADE,1.0,1.0,0,0,1
22,120068,12,Final Grades,2019,S4100-Harmon-Blue 2,S4100,A-,1.0,1.0,0,0,1
23,120136,12,Final Grades,2019,A400-Crain-Gold 2,A400,I,1.0,0.0,0,0,1
24,120136,12,Final Grades,2019,B400-Leon-Gold 3,B400,I,1.0,0.0,0,0,1
25,120136,12,Final Grades,2019,C402-Hansen-Blue 3,C402,A,1.0,1.0,0,0,1
26,120136,12,Final Grades,2019,D430-Prohuska-Blue 4,D430,C,1.0,1.0,0,0,1
27,120136,12,Final Grades,2019,E300-Reisch-Gold 4,E300,A,1.0,1.0,0,0,1
28,120136,12,Final Grades,2019,F502-Guerra-Blue 2,F502,A,1.0,1.0,0,0,1
29,120136,12,Final Grades,2019,7595,I199,NO GRADE,1.0,1.0,0,0,1
30,120149,12,Final Grades,2019,E300-Reisch-Gold 2,E300,A-,1.0,1.0,0,0,1
31,120180,12,Final Grades,2019,A400-Crain-Gold 3,A400,I,1.0,0.0,0,0,1
32,120180,12,Final Grades,2019,B400-Leon-Gold 4,B400,I,1.0,0.0,0,0,1
33,120180,12,Final Grades,2019,C402-Hansen-Blue 3,C402,A-,1.0,1.0,0,0,1
34,120180,12,Final Grades,2019,D200-Roorda-Gold 2,D200,A-,1.0,1.0,0,0,1
35,120180,12,Final Grades,2019,D430-Prohuska-Blue 4,D430,I,1.0,0.0,0,0,1
36,120180,12,Final Grades,2019,I1043-Breneman-Blue 2,I1043,P,1.0,1.0,0,0,1
37,120103,12,Final Grades,2019,A400-Crain-Gold 3,A400,I,1.0,0.0,0,0,1
38,120103,12,Final Grades,2019,B400-Leon-Gold 2,B400,C+,1.0,1.0,0,0,1
39,120103,12,Final Grades,2019,C402-Hansen-Blue 3,C402,B,1.0,1.0,0,0,1
40,120103,12,Final Grades,2019,D430-Prohuska-Blue 2,D430,C-,1.0,1.0,0,0,1
41,120103,12,Final Grades,2019,E400-Lopez-Blue 4,E400,C+,1.0,1.0,0,0,1
42,120103,12,Final Grades,2019,I1043-Breneman-Gold 4,I1043,P,1.0,1.0,0,0,1
43,120027,12,Final Grades,2019,A400-Crain-Gold 3,A400,C+,1.0,1.0,0,0,1
44,120027,12,Final Grades,2019,B400-Leon-Gold 4,B400,C,1.0,1.0,0,0,1
45,120027,12,Final Grades,2019,C402-Hansen-Blue 4,C402,A+,1.0,1.0,0,0,1
46,120027,12,Final Grades,2019,D200-Roorda-Gold 2,D200,C+,1.0,1.0,0,0,1
47,120027,12,Final Grades,2019,D430-Prohuska-Blue 3,D430,C-,1.0,1.0,0,0,1
48,120027,12,Final Grades,2019,E200-Lopez-Blue 2,E200,A,1.0,1.0,0,0,1
49,120051,12,Final Grades,2019,A400-Crain-Gold 3,A400,A+,1.0,1.0,0,0,1
50,120051,12,Final Grades,2019,B400-Leon-Gold 2,B400,A+,1.0,1.0,0,0,1
51,120051,12,Final Grades,2019,C400-Reynolds-Blue 3,C400,A-,1.0,1.0,0,0,1
52,120051,12,Final Grades,2019,D430-Prohuska-Blue 4,D430,A,1.0,1.0,0,0,1
53,120051,12,Final Grades,2019,F502-Guerra-Blue 2,F502,A,1.0,1.0,0,0,1
54,120051,12,Final Grades,2019,7593,I136OP,NO GRADE,1.0,1.0,0,0,1
55,120051,12,Final Grades,2019,7594,I199,NO GRADE,1.0,1.0,0,0,1
56,120118,12,Final Grades,2019,A400-Crain-Gold 4,A400,B+,1.0,1.0,0,0,1
57,120118,12,Final Grades,2019,B400-Leon-Gold 3,B400,A,1.0,1.0,0,0,1
58,120118,12,Final Grades,2019,C402-Hansen-Blue 3,C402,A+,1.0,1.0,0,0,1
59,120118,12,Final Grades,2019,D430-Prohuska-Blue 2,D430,A-,1.0,1.0,0,0,1
60,120118,12,Final Grades,2019,E300-Reisch-Gold 2,E300,B+,1.0,1.0,0,0,1
61,120118,12,Final Grades,2019,I1043-Breneman-Blue 4,I1043,P,1.0,1.0,0,0,1
62,120114,12,Final Grades,2019,A400-Crain-Gold 2,A400,C+,1.0,1.0,0,0,1
63,120114,12,Final Grades,2019,B400-Leon-Gold 3,B400,B-,1.0,1.0,0,0,1
64,120114,12,Final Grades,2019,D430-Prohuska-Blue 3,D430,B-,1.0,1.0,0,0,1
65,120114,12,Final Grades,2019,F502-Guerra-Blue 4,F502,A,1.0,1.0,0,0,1
66,120114,12,Final Grades,2019,I1043-Breneman-Gold 4,I1043,P,1.0,1.0,0,0,1
67,120114,12,Final Grades,2019,S4100-Harmon-Blue 2,S4100,A-,1.0,1.0,0,0,1
68,120007,12,Final Grades,2019,A400-Crain-Gold 3,A400,I,1.0,0.0,0,0,1
69,120007,12,Final Grades,2019,B400-Leon-Gold 2,B400,C+,1.0,1.0,0,0,1
