local_student_id	site_id	grading_period_name	academic_year	local_section_id	school_course_id	corrected_grade	max_credits	credits_received	is_final?	is_repeat?	session_type_id
30171	1	Final Grade	2018	79824	C420	C-	1	1	1	0	1
30171	1	Final Grade	2018	79839	A400	C-	1	1	1	0	1
30171	1	Final Grade	2018	79870	B400	C+	1	1	1	0	1
30171	1	Final Grade	2018	79887	D430	C-	1	1	1	0	1
30171	1	Final Grade	2018	2018RAING100ExpedAMHes	G103	F	1	0	1	0	1
30171	1	Final Grade	2018	2018RAINF563ExpedPMDeO	G299	F	1	0	1	0	1
30402	1	Final Grade	2018	79820	A300	F	1	0	1	0	1
30402	1	Final Grade	2018	79838	B300	F	1	0	1	0	1
30402	1	Final Grade	2018	79875	C320	I	1	0	1	0	1
30449	1	Final Grade	2018	79864	A400	A-	1	1	1	0	1
30449	1	Final Grade	2018	79870	B400	A+	1	1	1	0	1
30449	1	Final Grade	2018	79888	D430	B	1	1	1	0	1
30449	1	Final Grade	2018	79908	C420	C+	1	1	1	0	1
30449	1	Final Grade	2018	2018RAINI106ExpedAMWit	I106	P	1	1	1	0	1
30452	1	Final Grade	2018	79819	A400	A	1	1	1	0	1
30452	1	Final Grade	2018	79841	C400	A	1	1	1	0	1
30452	1	Final Grade	2018	79881	B400	A+	1	1	1	0	1
30452	1	Final Grade	2018	79904	D430	A-	1	1	1	0	1
30452	1	Final Grade	2018	2018RAING100ExpedAMHes	G103	A	1	1	1	0	1
30452	1	Final Grade	2018	2018RAINI202ExpedPMHes	I202	P	1	1	1	0	1
30453	1	Final Grade	2018	79824	C420	A-	1	1	1	0	1
30453	1	Final Grade	2018	79839	A400	B-	1	1	1	0	1
30453	1	Final Grade	2018	79841	C400	A-	1	1	1	0	1
30453	1	Final Grade	2018	79870	B400	A-	1	1	1	0	1
30453	1	Final Grade	2018	79888	D430	B-	1	1	1	0	1
30453	1	Final Grade	2018	2018RAINI139ExpedAMWit	I139	P	1	1	1	0	1
30454	1	Final Grade	2018	79819	A400	B-	1	1	1	0	1
30454	1	Final Grade	2018	79887	D430	C+	1	1	1	0	1
30454	1	Final Grade	2018	79890	B400	B	1	1	1	0	1
